system,atom_i,element_i,atom_j,element_j,bond_type,mayer_bond_order,region_i,label_i,region_j,label_j,source_file
pdi_terminal_functionalized,33,C,51,H,C-H,0.96895015,terminal_left_beta,TL_C2,terminal_left_beta,TL_H3,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,33,C,52,H,C-H,0.9682825,terminal_left_beta,TL_C2,terminal_left_beta,TL_H4,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,34,C,35,C,C-C,0.98220898,terminal_left_beta,TL_C3,terminal_left_gamma,TL_C4,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,34,C,53,H,C-H,0.96830114,terminal_left_beta,TL_C3,terminal_left_beta,TL_H5,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,34,C,54,H,C-H,0.96894246,terminal_left_beta,TL_C3,terminal_left_beta,TL_H6,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,35,C,55,H,C-H,0.98123253,terminal_left_gamma,TL_C4,terminal_left_gamma,TL_H7,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,35,C,56,H,C-H,0.98099902,terminal_left_gamma,TL_C4,terminal_left_gamma,TL_H8,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,35,C,57,H,C-H,0.97723671,terminal_left_gamma,TL_C4,terminal_left_gamma,TL_H9,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,36,C,58,H,C-H,0.97751642,terminal_left_gamma,TL_C5,terminal_left_gamma,TL_H10,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,36,C,59,H,C-H,0.98097138,terminal_left_gamma,TL_C5,terminal_left_gamma,TL_H11,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,36,C,60,H,C-H,0.98101259,terminal_left_gamma,TL_C5,terminal_left_gamma,TR_H1,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,37,C,39,C,C-C,0.98237614,terminal_right_beta,TR_C2,terminal_right_gamma,TR_C4,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
pdi_terminal_functionalized,37,C,61,H,C-H,0.96897412,terminal_right_beta,TR_C2,terminal_right_beta,TR_H2,calculations/pdi_terminal_functionalized/multiwfn_analysis/bond_orders/pdi_terminal_functionalized_mayer_bond_orders.txt
