system,source_file,energy_ev,tdos,opdos,pdos_fragment_1,pdos_fragment_2,pdos_fragment_3,pdos_fragment_4,pdos_fragment_5,pdos_fragment_6,pdos_fragment_7,pdos_fragment_8,pdos_fragment_9,pdos_fragment_10
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.54118,0.032385,-0.001856,0.008603,0.000802,0.02218,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.53585,0.035811,-0.002052,0.009514,0.00089,0.024522,0.000885,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.53051,0.039531,-0.002264,0.010504,0.000986,0.027065,0.000977,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.52518,0.043563,-0.002494,0.011578,0.00109,0.02982,0.001076,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.51984,0.047924,-0.002742,0.012738,0.001204,0.032798,0.001184,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.5145,0.052631,-0.00301,0.013991,0.001327,0.036013,0.0013,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.50917,0.057702,-0.003298,0.015341,0.001462,0.039474,0.001426,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.50383,0.063153,-0.003608,0.016792,0.001607,0.043194,0.00156,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.4985,0.069001,-0.00394,0.018348,0.001765,0.047184,0.001704,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.49316,0.075262,-0.004295,0.020014,0.001936,0.051453,0.001859,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.48783,0.081951,-0.004674,0.021794,0.00212,0.056013,0.002024,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.48249,0.089082,-0.005078,0.023691,0.002319,0.060873,0.002199,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.47716,0.09667,-0.005507,0.025709,0.002533,0.066041,0.002386,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.47182,0.104726,-0.005963,0.027851,0.002764,0.071526,0.002584,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.46649,0.11326,-0.006444,0.03012,0.003012,0.077334,0.002794,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.46115,0.122284,-0.006953,0.032517,0.003279,0.083472,0.003016,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.45582,0.131803,-0.007489,0.035045,0.003565,0.089943,0.00325,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.45048,0.141824,-0.008052,0.037705,0.003872,0.096752,0.003495,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.44515,0.15235,-0.008642,0.040497,0.004201,0.103899,0.003753,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.43981,0.163383,-0.009261,0.043421,0.004554,0.111386,0.004023,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.43448,0.174922,-0.009906,0.046476,0.00493,0.11921,0.004305,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.42914,0.186963,-0.010578,0.049662,0.005334,0.127369,0.004599,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.42381,0.1995,-0.011276,0.052975,0.005764,0.135857,0.004904,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.41847,0.212525,-0.012,0.056412,0.006225,0.144667,0.005221,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.41314,0.226026,-0.012748,0.05997,0.006716,0.153791,0.005548,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.4078,0.239988,-0.01352,0.063644,0.007241,0.163217,0.005886,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.40247,0.254394,-0.014315,0.067428,0.007801,0.172932,0.006233,0.0,0.0,0.0,0.0,0.0,0.0
pdi,calculations/pdi/multiwfn_analysis/dos/pdi_dos_curve.txt,-11.39713,0.269224,-0.01513,0.071316,0.008398,0.182921,0.00659,0.0,0.0,0.0,0.0,0.0,0.0
