 Note: The diagonal elements are the sum of corresponding row elements
 ***************************** Bond order matrix *****************************
    11    0.00000629    0.01292294   -0.00006100    0.00055137    0.01679802
    12   -0.00000864    0.00042684    0.00006471    0.00024262    0.96285205
    13    0.00002888   -0.00011507    0.00012863    0.00013125   -0.03330624
    14   -0.00004934    0.00005305    0.00005023    0.00024279   -0.00013372
    15    0.00041646   -0.00002014    0.00012525   -0.00039571    0.00017001
    16    0.01290724    0.00002958    0.00005776    0.00002808   -0.00012969
    17    0.00005732    0.00002006    0.00022277    0.00009948    0.00025667
    18    0.01296619    0.00003005    0.00033097   -0.00015896   -0.00018381
    19    0.00037975   -0.00000592    0.00142971    0.00010653    0.00003265
    20   -0.00007442    0.00005873    0.00990826   -0.00007744   -0.00002268
    21    0.01225490   -0.00000413   -0.00016434    0.00016797    0.00001222
    22    0.88660652   -0.00000025    0.00004566    0.00000544    0.00001067
    23    0.01222161   -0.00001105    0.00007281    0.00003217   -0.00001431
    24    0.00001351    0.01222575    0.00104504   -0.00416589    0.00029684
    25   -0.00000126    0.88665561    0.00005009    0.00058617    0.00056469
    26    0.00000306    0.01218330    0.00007131    0.00029134   -0.00431424
    27    0.00000044    0.01402757   -0.00001593    0.02799788   -0.00005658
    28   -0.00000069    0.01399867    0.00000095   -0.00004407    0.02826171
    29    0.01399435    0.00000010   -0.00000484    0.00000289    0.00000053
    30    0.01400549    0.00000044    0.00008230    0.00000026    0.00000219
    31    0.96646155    0.00000008    0.00000092   -0.00000333   -0.00000344
    32    0.00000008    0.96652773    0.00003205    0.00009528    0.00009927
    33    0.00000092    0.00003205    0.98620672    0.00041491    0.00000574
    34   -0.00000333    0.00009528    0.00041491    0.98655534    0.00005622
    35   -0.00000344    0.00009927    0.00000574    0.00005622    0.98703003
    36   -0.00000298   -0.00000117    0.00009006    0.00000254    0.00033387
    37    0.00002093    0.00002188    0.00000064    0.00000310    0.00001212
    38    0.00009418   -0.00000038   -0.00000029   -0.00002123    0.00000221
    39    0.00009573   -0.00000054    0.00002082    0.00000452   -0.00000605
    40    0.00001873   -0.00000371    0.01051952    0.00002386   -0.00000161
            36            37            38            39            40      
     1   -0.00007549    0.00112313   -0.00021979    0.00485128   -0.01912820
     2    0.00110673   -0.00007633   -0.00003757    0.00094434   -0.01574814
     3    0.00707117   -0.00028721    0.00001223    0.00022355   -0.00027388
     4   -0.01920580   -0.01530567    0.00096700   -0.00013970   -0.00005841
     5   -0.01560880   -0.01963236    0.00490901   -0.00011637    0.00111952
     6   -0.00029891    0.00708027    0.00088285    0.00070363    0.00702671
     7    0.00014918    0.00007880    0.00002480   -0.00004662    0.01002772
     8    0.00007911    0.00001118    0.00001619    0.00010268    0.00136403
     9   -0.00007539    0.00010644   -0.00031635   -0.00008179    0.00040925
    10   -0.00015416    0.00014242    0.00036734    0.00010319    0.00020906
    11    0.00519542    0.00047416   -0.00013220   -0.00000393    0.00004418
    12    0.00544878    0.00131923    0.00008633   -0.00010552    0.00012148
    13    0.97803346    0.00974178   -0.00002780    0.00006617    0.00005551
    14    0.00990386    0.97819559   -0.03295937    0.00016931    0.00013481
    15    0.00142093    0.00547493    0.96221756    0.00026377    0.00006072
    16    0.00021012    0.00530765    0.01717457    0.00055729   -0.00006574
    17    0.00027012   -0.00023157    0.00771146    0.00760634   -0.00017781
    18    0.00004257   -0.00002336    0.00063799    0.01807760    0.00528921
    19    0.00004474    0.00007239    0.00022857    0.96152209    0.00536129
    20    0.00007265    0.00013432    0.00020733   -0.03299281    0.97789630
    21    0.00006511    0.00106465   -0.00432946    0.00028302    0.00007895
    22    0.00003897    0.00003071    0.00060300    0.00062125    0.00002932
    23   -0.00004409    0.00004637    0.00026895   -0.00433693    0.00106933
    24    0.00007991   -0.00008838   -0.00000143   -0.00000204   -0.00001641
    25    0.00004113    0.00002235   -0.00000357    0.00001473    0.00002376
    26    0.00107170    0.00003458    0.00004895    0.00000312   -0.00011214
    27    0.00000680    0.00001152    0.00000489    0.00000096    0.00008037
    28   -0.00002931    0.00013855   -0.00000580    0.00000026   -0.00000279
    29    0.00008996   -0.00002010    0.02768520   -0.00005030    0.00000368
    30    0.00000434    0.00000371   -0.00004518    0.02780240   -0.00001535
    31   -0.00000298    0.00002093    0.00009418    0.00009573    0.00001873
    32   -0.00000117    0.00002188   -0.00000038   -0.00000054   -0.00000371
    33    0.00009006    0.00000064   -0.00000029    0.00002082    0.01051952
    34    0.00000254    0.00000310   -0.00002123    0.00000452    0.00002386
    35    0.00033387    0.00001212    0.00000221   -0.00000605   -0.00000161
    36    0.98586362    0.01046639    0.00001853    0.00000132    0.00000025
    37    0.01046639    0.98592571    0.00035684    0.00000340    0.00009069
    38    0.00001853    0.00035684    0.98649096    0.00005923    0.00000616
    39    0.00000132    0.00000340    0.00005923    0.98657161    0.00035220
    40    0.00000025    0.00009069    0.00000616    0.00035220    0.98581241
