        96

Path index:         1
 -0.219358189095E+01 -0.572173999635E+01 -0.453505685309E-01
 -0.220736083840E+01 -0.569509167744E+01 -0.452627799603E-01
 -0.222114366922E+01 -0.566844536702E+01 -0.451749429873E-01
 -0.223493002673E+01 -0.564180088123E+01 -0.450870589720E-01
 -0.224871980851E+01 -0.561515816766E+01 -0.449991266695E-01
 -0.226251271378E+01 -0.558851707114E+01 -0.449111464766E-01
 -0.227630833899E+01 -0.556187738315E+01 -0.448231188776E-01
 -0.229010622702E+01 -0.553523886726E+01 -0.447350431438E-01
 -0.230390590555E+01 -0.550860127905E+01 -0.446469156809E-01
 -0.231770693780E+01 -0.548196439238E+01 -0.445587275381E-01
 -0.233150900345E+01 -0.545532804141E+01 -0.444704606142E-01
 -0.234531203003E+01 -0.542869218876E+01 -0.443820821420E-01
 -0.235911639462E+01 -0.540205703007E+01 -0.442935374236E-01
 -0.237292319880E+01 -0.537542313675E+01 -0.442047420305E-01
 -0.238673456238E+01 -0.534879160871E+01 -0.441155773166E-01
 -0.240055377255E+01 -0.532216415319E+01 -0.440258964794E-01
 -0.241438502670E+01 -0.529554295400E+01 -0.439355486052E-01
 -0.242823261049E+01 -0.526893024804E+01 -0.438444188107E-01
 -0.244209976729E+01 -0.524232773863E+01 -0.437524658866E-01
 -0.245598789009E+01 -0.521573617144E+01 -0.436597336248E-01
 -0.246989647280E+01 -0.518915530232E+01 -0.435663305303E-01
 -0.248382367153E+01 -0.516258418433E+01 -0.434723949504E-01
 -0.249776701935E+01 -0.513602153850E+01 -0.433780653325E-01
 -0.251172397039E+01 -0.510946603872E+01 -0.432834635554E-01
 -0.252569219716E+01 -0.508291646888E+01 -0.431886893170E-01
 -0.253966970027E+01 -0.505637178191E+01 -0.430938206580E-01
 -0.255365481338E+01 -0.502983110361E+01 -0.429989168094E-01
 -0.256764616451E+01 -0.500329371322E+01 -0.429040213955E-01
 -0.258164262837E+01 -0.497675901892E+01 -0.428091653398E-01
 -0.259564328475E+01 -0.495022653629E+01 -0.427143694602E-01
 -0.260964738632E+01 -0.492369587163E+01 -0.426196468913E-01
 -0.262365433330E+01 -0.489716670882E+01 -0.425250053509E-01
 -0.263766365023E+01 -0.487063879714E+01 -0.424304490589E-01
 -0.265167496102E+01 -0.484411193820E+01 -0.423359799951E-01
 -0.266568796231E+01 -0.481758597192E+01 -0.422415983299E-01
 -0.267970240139E+01 -0.479106076493E+01 -0.421473024287E-01
 -0.269371806934E+01 -0.476453620696E+01 -0.420530895361E-01
 -0.270773481288E+01 -0.473801221707E+01 -0.419589580718E-01
 -0.272175254487E+01 -0.471148874925E+01 -0.418649101571E-01
 -0.273577121519E+01 -0.468496577706E+01 -0.417709500637E-01
 -0.274979078122E+01 -0.465844327799E+01 -0.416770817400E-01
 -0.276381129857E+01 -0.463192128142E+01 -0.415833201695E-01
